_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,Güncelleme Tarihi / Updated as of,42437.0,_unnamed_7,USD/TRY=,2.9201,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17,_unnamed_18,_unnamed_19,_unnamed_20,_unnamed_21,_unnamed_22,_unnamed_23,_unnamed_24,_unnamed_25,_unnamed_26,_unnamed_27
Sayý,ISIN Kodu,Ýlgili Menkul Kýymet,Ýhraçcý Kurum,Ýhraç Türü,Getiri Türü,MK Türü,Yýllýk Kupon Sayýsý,Para Birimi,Grup Kodu,Ýlk Ýhraç Tarihi,Ýtfa Tarihi,Vadeye Kalan Gün,Toplam Ýhraç Tutarý Nom.,Son Ýhraç Tarihi,Son Ýhraç Fiyatý,Son Ýhraç Getirisi % (yýllýk basit),Gösterge Fiyat,Sonraki Kupon Tarihi,Sonraki Kupon Oraný %,Ek Getiri (%) (*),Dolaþýmdaki Tutar,Emir Giriþ Yöntemi,Ýþlemiþ Faiz/Kira,Temiz Fiyat,Kirli Fiyat,Takas Fiyatý,Getiri,Bileþik Getiri,Gün Sayým Konvansiyonu,Açýklamalar
No,ISIN Code,Related Security,Issuer,Type of Issuance,Type of Yield,Type of Security,Number of Coupons p.a.,Currency,Group Code,First Issue Date,Maturity Date,Days to Maturity,Total Issue Amount Nom.,Last Issue date,Last Issue Price,Last Issue Yield % (simple p.a.),Reference Price (TRY),Next Coupon Date,Next Coupon Rate %,Spread (%) (*),Outstanding Value,Quotation Method,Accrued Int./Lease,Clean Price,Dirty Price,Settlement Price,Yield,Compound Yield,Day Count Convention,Remarks
,,,,,,,,,,,,,(1000 TRY/USD/EUR),,,,,,,,(1000 TRY),,,,,,,,,
1.0,TRT130416T11,,Hazine / Turkish Treasury,Ýhale / Auction,Ýskontolu / Discounted,Devlet Tahvili / Government Bond,-,TRY,101.0,42053.0,42473.0,36.0,991947.457,42053.0,91.124,8.44,98.647,,,,978526.407907,Basit Getiri/Simple Yield,-,-,Formül 1/Formula 1,Kirli Fiyat/Dirty Price,Giriþ/Input,Formül 3/Formula 3,Act/365,
2.0,TRT080616T16,,Hazine / Turkish Treasury,Ýhale / Auction,Ýskontolu / Discounted,Devlet Tahvili / Government Bond,-,TRY,101.0,42102.0,42529.0,92.0,833978.233,42102.0,90.354,9.1,97.356,,,,811927.848519,Basit Getiri/Simple Yield,-,-,Formül 1/Formula 1,Kirli Fiyat/Dirty Price,Giriþ/Input,Formül 3/Formula 3,Act/365,
3.0,TRT170816T13,,Hazine / Turkish Treasury,Ýhale / Auction,Ýskontolu / Discounted,Devlet Tahvili / Government Bond,-,TRY,101.0,42235.0,42599.0,162.0,839000.0,42235.0,90.073,11.02,95.788,,,,803661.32,Basit Getiri/Simple Yield,-,-,Formül 1/Formula 1,Kirli Fiyat/Dirty Price,Giriþ/Input,Formül 3/Formula 3,Act/365,
4.0,TRT141216T10,,Hazine / Turkish Treasury,Ýhale / Auction,Ýskontolu / Discounted,Devlet Tahvili / Government Bond,-,TRY,101.0,42284.0,42718.0,281.0,1447988.0,42326.0,89.965,11.15,92.502,,,,1339417.85976,Basit Getiri/Simple Yield,-,-,Formül 1/Formula 1,Kirli Fiyat/Dirty Price,Giriþ/Input,Formül 3/Formula 3,Act/365,
5.0,TRT010420T19,,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,2.0,TRY,108.0,40282.0,43922.0,1485.0,7735663.963,40506.0,122.152,3.56,166.661,42466.0,2.0,,12892334.9174,Temiz Fiyat/Clean Price,Formül 5/Formula 5,Giriþ/Input,Formül 6/Formula 6,Formül 8/Formula 8,Formül 2/Formula 2,Formül 4/Formula 4,Act/Act ISMA,"Son kupon döneminde getiri hesabýnda Formül 9, bileþik getiri hesabýnda Formül 3 kullanýlmaktadýr. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations."
6.0,TRT010420T27,TRT010420T19,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43922.0,1485.0,,40506.0,,,166.661,,,,,Temiz Fiyat/Clean Price,Formül 5/Formula 5,Giriþ/Input,Formül 6/Formula 6,Formül 8/Formula 8,Formül 2/Formula 2,Formül 4/Formula 4,Act/Act ISMA,"Son kupon döneminde getiri hesabýnda Formül 9, bileþik getiri hesabýnda Formül 3 kullanýlmaktadýr. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations."
7.0,TRT060416K27,TRT010420T27,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,42466.0,29.0,,40506.0,,,3.084,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
